Имя;Адрес;Адрес данных;Формат;Тип;X;Y;Разр.данных;Достоверность;Источник;Мин;Макс;Примечание
MAP_178_1AF14_6;0x1AF14;0x1AF21;с заголовком;2d;6;1;16;вероятная;mapscan;33280;64000;
MAP_179_1B0C2_5;0x1B0C2;0x1B0C8;с заголовком;2d;5;1;16;вероятная;mapscan;170;7000;
GRID_180_1B212_4x36;0x1B212;0x1B212;голая сетка;3d;4;36;8;вероятная;gridscan;0;16;
MAP_181_1B422_16;0x1B422;0x1B433;с заголовком;2d;16;1;8;вероятная;mapscan;0;9;
MAP_182_1B464_7;0x1B464;0x1B473;с заголовком;2d;7;1;16;вероятная;mapscan;8448;36352;
MAP_183_1B497_8;0x1B497;0x1B4A8;с заголовком;2d;8;1;8;вероятная;mapscan;23;197;
MAP_184_1B54C_4;0x1B54C;0x1B555;с заголовком;2d;4;1;16;вероятная;mapscan;0;34048;
MAP_185_1B5E1_6;0x1B5E1;0x1B5E8;с заголовком;2d;6;1;16;вероятная;mapscan;5;9805;
MAP_186_1B612_5;0x1B612;0x1B618;с заголовком;2d;5;1;16;вероятная;mapscan;52;170;
MAP_187_1B663_16;0x1B663;0x1B674;с заголовком;2d;16;1;16;вероятная;mapscan;375;7500;
MAP_188_1B8C0_5;0x1B8C0;0x1B8C6;с заголовком;2d;5;1;8;вероятная;mapscan;0;255;
MAP_189_1B91F_5;0x1B91F;0x1B925;с заголовком;2d;5;1;8;вероятная;mapscan;13;133;
MAP_190_1B9EC_4;0x1B9EC;0x1B9F1;с заголовком;2d;4;1;8;вероятная;mapscan;24;137;
MAP_191_1BC7A_8;0x1BC7A;0x1BC83;с заголовком;2d;8;1;8;вероятная;mapscan;12;56;
MAP_192_1BD71_5;0x1BD71;0x1BD7C;с заголовком;2d;5;1;16;вероятная;mapscan;1280;3462;
